states,x,y
Abia,-53,-197
Adamawa,215,13
Akwa Ibom,-36,-230
Anambra,-84,-152
Bauchi,79.0,57.0
Bayelsa,-139,-227
Benue,17,-104
Borno,267,138
Cross Rivers,2,-185
Delta,-147,-186
Ebonyi,-18,-147
Edo,-127,-123
Ekiti,-177,-80
Enugu,-58,-130
Gombe,153,56
Imo,-81,-187
Jigawa,50,155
Kaduna,-41,61
Kano,-10,126
Katsina,-50,157
Kebbi,-246,114
Kogi,-96,-86
Kwara,-200,-27
Lagos,-273,-137
Nassarawa,-12,-44
Niger,-174,42
Ogun,-278,-117
Ondo,-196,-115
Osun,-222,-86
Oyo,-272,-57
Plateau,68,-4
Rivers,-91,-215
Sokoto,-180,201
Taraba,125,-82
Yobe,171,144
Zamfara,-126,132
Abuja,-76,-22